body_type,sex,diet,how_often_shower,heating_energy_source,transport,vehicle_type,social_activity,monthly_grocery_bill,frequency_of_traveling_by_air,vehicle_monthly_distance_km,waste_bag_size,waste_bag_weekly_count,how_long_tv_pc_daily_hour,how_many_new_clothes_monthly,how_long_internet_daily_hour,energy_efficiency,recycling,cooking_with,co2,type,country,year,coal_co2,oil_co2,gas_co2,cement_co2,flaring_co2,other_industry_co2
4,1,1,3,4,3,5,2,158.0,1,45.0,1,3.0,14.0,40.0,18.0,2,16,14,2232.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,4,3,3,5,1,275.0,3,67.0,1,5.0,16.0,29.0,24.0,3,6,13,2090.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,1,1,1,4,3,286.0,1,8869.0,1,4.0,13.0,48.0,17.0,1,5,3,4116.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,2,4,2,5,3,127.0,3,670.0,1,2.0,16.0,23.0,11.0,2,7,15,1536.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,4,2,2,5,1,228.0,1,1262.0,4,3.0,4.0,20.0,22.0,3,0,16,1807.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,3,2,3,5,2,241.0,2,8.0,4,2.0,6.0,17.0,1.0,1,16,12,1124.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,2,4,2,5,1,86.0,1,884.0,3,6.0,20.0,40.0,1.0,1,3,10,2227.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,2,4,2,5,3,102.0,3,1060.0,2,2.0,2.0,32.0,0.0,2,9,2,1322.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,3,1,2,5,2,84.0,4,1537.0,1,2.0,22.0,23.0,10.0,1,13,5,2999.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,3,3,1,4,2,147.0,4,4171.0,1,7.0,11.0,49.0,13.0,1,12,0,4893.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,3,3,2,5,2,97.0,1,240.0,1,4.0,15.0,28.0,10.0,3,6,9,2264.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,2,4,1,1,1,98.0,4,8308.0,2,5.0,15.0,23.0,9.0,1,12,13,4847.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,4,3,1,1,3,203.0,4,4987.0,3,7.0,3.0,31.0,0.0,3,13,5,4998.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,3,3,2,5,2,183.0,2,1869.0,2,5.0,0.0,0.0,22.0,1,0,3,1358.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,1,2,3,5,3,204.0,3,33.0,3,7.0,14.0,7.0,16.0,1,6,0,1062.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,2,2,1,4,2,181.0,1,6879.0,1,2.0,16.0,5.0,10.0,3,12,10,2805.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,2,3,1,2,3,234.0,4,1815.0,4,1.0,2.0,15.0,15.0,2,14,16,2181.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,2,3,3,5,2,204.0,1,14.0,3,5.0,19.0,42.0,13.0,1,0,8,2453.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,4,1,1,2,2,100.0,1,3633.0,4,5.0,5.0,27.0,0.0,1,7,16,2133.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2,4,2,5,3,194.0,1,1285.0,2,4.0,23.0,35.0,3.0,2,13,13,1933.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,4,3,3,5,2,189.0,2,7.0,4,1.0,20.0,30.0,1.0,2,11,0,1104.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,1,4,2,5,3,162.0,1,1778.0,1,7.0,24.0,28.0,12.0,3,6,9,2583.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,4,1,2,5,2,206.0,1,1896.0,3,7.0,4.0,36.0,9.0,1,0,10,2694.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,4,1,3,5,1,247.0,2,19.0,2,6.0,3.0,35.0,22.0,1,13,5,1961.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,3,1,4,3,225.0,2,5539.0,4,2.0,22.0,3.0,2.0,1,5,12,1923.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,4,3,2,5,1,256.0,4,1652.0,1,4.0,15.0,45.0,17.0,3,4,10,2912.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,4,2,3,5,3,195.0,4,37.0,3,6.0,1.0,46.0,18.0,2,14,10,2808.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,4,3,2,5,3,112.0,2,1703.0,4,6.0,6.0,20.0,0.0,1,0,16,1098.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,4,4,3,5,2,124.0,1,46.0,2,5.0,6.0,33.0,6.0,1,7,8,2916.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,4,2,2,5,1,182.0,4,1970.0,1,1.0,8.0,17.0,11.0,2,12,15,2145.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,3,3,2,5,3,167.0,2,12.0,3,2.0,11.0,27.0,9.0,1,6,4,1330.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,1,3,3,5,3,180.0,1,74.0,2,3.0,12.0,13.0,19.0,2,13,2,1813.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,3,1,3,5,3,202.0,1,19.0,4,3.0,6.0,31.0,9.0,3,11,4,2391.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,3,1,2,5,3,254.0,4,1681.0,2,3.0,24.0,30.0,7.0,2,7,16,3268.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,4,1,1,3,3,70.0,1,7640.0,3,1.0,23.0,32.0,13.0,1,6,2,3528.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,4,4,1,4,2,116.0,4,6653.0,4,2.0,7.0,8.0,18.0,1,0,10,4395.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,1,3,2,5,1,276.0,3,1130.0,1,5.0,9.0,23.0,4.0,1,11,16,1880.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,4,4,2,5,1,224.0,4,313.0,1,3.0,14.0,49.0,15.0,1,7,6,3088.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,3,4,3,5,1,243.0,1,86.0,1,3.0,8.0,48.0,6.0,3,6,13,1730.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,1,4,1,1,1,160.0,3,4730.0,2,5.0,15.0,19.0,23.0,1,7,11,2617.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,3,1,3,5,1,256.0,3,15.0,2,7.0,2.0,17.0,18.0,1,7,8,1817.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,2,2,3,5,2,191.0,4,68.0,1,7.0,0.0,3.0,1.0,2,4,11,2199.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,1,2,2,5,1,116.0,4,977.0,1,2.0,15.0,10.0,5.0,3,8,6,1904.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,1,2,2,5,2,272.0,4,1507.0,4,2.0,9.0,49.0,17.0,3,9,14,2862.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,1,2,2,5,1,161.0,1,1490.0,1,1.0,0.0,42.0,8.0,1,8,14,1426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,2,1,3,5,3,186.0,1,62.0,2,7.0,17.0,24.0,10.0,3,10,4,2165.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,1,2,2,5,1,176.0,3,1873.0,4,2.0,10.0,21.0,15.0,1,14,2,1020.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,4,2,3,5,1,204.0,1,54.0,1,3.0,13.0,44.0,20.0,2,16,7,1960.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,2,1,1,4,3,188.0,4,4992.0,3,2.0,11.0,27.0,14.0,1,7,11,5340.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,4,2,1,2,1,159.0,1,475.0,2,6.0,15.0,35.0,4.0,2,12,16,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,3,2,3,5,1,284.0,1,55.0,1,4.0,3.0,47.0,1.0,2,15,3,2056.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,2,1,1,6,3,123.0,4,2336.0,3,1.0,8.0,39.0,3.0,2,4,8,3112.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2,4,3,5,2,265.0,3,45.0,1,1.0,22.0,2.0,0.0,3,14,14,1102.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,1,1,1,2,3,275.0,2,3976.0,3,2.0,12.0,28.0,1.0,1,12,11,1188.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,1,2,5,1,157.0,3,1884.0,1,1.0,22.0,48.0,16.0,1,7,14,1993.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,1,2,1,6,3,76.0,3,5776.0,4,4.0,15.0,34.0,20.0,1,3,10,3135.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,4,1,3,5,3,106.0,1,25.0,4,7.0,22.0,35.0,17.0,3,15,3,1944.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,2,2,2,5,1,131.0,3,789.0,3,7.0,13.0,7.0,4.0,2,14,6,1248.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,3,3,3,5,3,111.0,1,26.0,3,2.0,23.0,32.0,1.0,1,11,2,1502.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,2,3,3,5,2,136.0,3,71.0,2,7.0,12.0,15.0,10.0,1,9,7,2190.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,2,1,2,5,2,283.0,4,515.0,3,1.0,3.0,17.0,9.0,3,6,8,3121.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,3,1,2,5,1,238.0,4,1242.0,4,1.0,14.0,25.0,16.0,3,4,10,2543.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,4,4,1,2,5,1,191.0,2,1864.0,1,6.0,20.0,9.0,20.0,2,9,6,2443.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,1,1,2,5,2,141.0,1,1835.0,2,4.0,23.0,12.0,24.0,1,4,13,2043.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,2,1,3,5,2,254.0,1,39.0,2,7.0,20.0,6.0,11.0,3,7,3,2193.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,2,4,2,5,2,258.0,3,488.0,2,7.0,7.0,14.0,2.0,2,10,11,1804.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,4,2,2,5,2,107.0,2,435.0,2,2.0,22.0,32.0,7.0,2,6,8,1107.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,4,2,1,6,1,267.0,3,2110.0,3,1.0,3.0,13.0,10.0,3,9,7,1861.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,4,1,2,5,1,69.0,2,47.0,1,2.0,6.0,21.0,18.0,2,5,7,1110.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,4,3,3,5,2,261.0,1,14.0,4,7.0,20.0,35.0,22.0,3,4,14,2519.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,3,2,2,5,2,110.0,4,1871.0,1,1.0,10.0,25.0,11.0,1,11,10,2482.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,1,2,2,5,1,115.0,1,72.0,2,3.0,6.0,27.0,15.0,3,4,16,1363.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,1,1,4,1,72.0,3,8521.0,1,2.0,23.0,44.0,19.0,1,2,0,3645.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,4,1,3,5,2,77.0,2,27.0,1,6.0,6.0,3.0,11.0,1,10,9,1678.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,1,2,1,2,3,274.0,4,5958.0,2,1.0,0.0,29.0,9.0,2,16,13,2738.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,4,2,2,5,2,60.0,1,1726.0,3,5.0,2.0,4.0,16.0,3,7,13,1741.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,4,2,3,5,1,166.0,3,17.0,3,7.0,16.0,5.0,0.0,2,15,12,898.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,2,2,2,5,2,274.0,3,549.0,1,7.0,23.0,35.0,18.0,3,0,14,2181.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,3,3,3,2,5,1,61.0,1,1696.0,3,7.0,12.0,23.0,14.0,2,10,5,1963.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,4,1,2,5,2,218.0,2,1479.0,1,5.0,13.0,32.0,3.0,3,12,14,1893.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,4,3,2,2,5,1,209.0,1,967.0,2,3.0,19.0,5.0,10.0,1,4,8,1528.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,4,1,1,3,1,293.0,4,3257.0,1,2.0,7.0,1.0,8.0,2,9,9,2484.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,3,4,3,5,2,204.0,4,77.0,2,6.0,6.0,33.0,24.0,2,12,4,2565.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,4,2,2,5,3,239.0,1,1405.0,2,4.0,11.0,15.0,14.0,3,10,3,1760.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,1,4,2,5,2,124.0,2,1979.0,4,6.0,13.0,37.0,17.0,1,13,7,1860.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,3,3,2,5,2,259.0,3,317.0,2,6.0,18.0,46.0,5.0,2,6,10,2170.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,4,1,3,5,3,228.0,4,67.0,2,1.0,12.0,26.0,22.0,3,13,9,2942.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,3,1,1,1,257.0,3,35.0,1,3.0,21.0,37.0,10.0,2,14,2,1562.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,2,1,2,5,1,181.0,2,279.0,4,7.0,10.0,30.0,14.0,3,2,7,1746.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,2,2,1,1,2,207.0,4,9366.0,1,3.0,4.0,32.0,24.0,1,4,16,4734.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,3,1,2,5,1,127.0,2,1648.0,1,3.0,3.0,41.0,9.0,3,5,5,1903.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,1,2,3,5,2,183.0,3,28.0,3,5.0,14.0,15.0,6.0,2,15,0,903.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,1,4,2,5,3,151.0,1,1935.0,4,4.0,7.0,9.0,14.0,3,16,9,1829.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,4,1,3,5,1,211.0,3,72.0,3,6.0,14.0,46.0,20.0,2,15,13,2041.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,4,3,3,5,3,239.0,4,92.0,2,5.0,8.0,1.0,9.0,2,5,8,2234.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,2,4,4,3,5,2,99.0,1,13.0,3,7.0,10.0,33.0,16.0,3,7,10,2167.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,2,2,3,3,5,2,236.0,4,72.0,4,5.0,11.0,21.0,4.0,2,6,11,2426.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,1,3,5,2,103.0,1,8.0,4,2.0,14.0,31.0,7.0,2,13,4,1770.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,1,1,3,3,5,3,173.0,3,6.0,2,5.0,11.0,33.0,7.0,1,7,12,1580.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,1,2,2,5,2,64.0,1,1279.0,4,7.0,21.0,13.0,16.0,2,13,15,1869.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,3,4,3,5,1,261.0,4,98.0,4,7.0,19.0,29.0,24.0,2,12,4,2575.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,2,3,3,5,3,114.0,1,80.0,4,4.0,19.0,5.0,4.0,1,13,2,1397.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,4,4,1,4,2,290.0,2,599.0,1,5.0,19.0,41.0,7.0,3,8,5,2145.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,2,1,1,1,1,186.0,3,9004.0,3,2.0,12.0,35.0,20.0,2,8,7,4314.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,1,2,2,5,3,96.0,4,192.0,4,6.0,9.0,32.0,3.0,1,10,7,2215.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,4,1,2,5,1,133.0,1,287.0,1,5.0,18.0,29.0,9.0,2,0,0,3501.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,1,1,1,1,3,140.0,2,9528.0,3,2.0,19.0,35.0,8.0,3,10,7,3933.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,1,4,1,3,3,125.0,3,1507.0,1,5.0,8.0,49.0,4.0,2,7,11,2554.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,2,2,1,4,1,247.0,4,9098.0,4,1.0,18.0,26.0,8.0,3,10,10,4300.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,3,4,2,5,1,142.0,1,1202.0,3,5.0,12.0,41.0,9.0,3,6,4,2577.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,2,4,1,3,3,64.0,4,6797.0,2,5.0,24.0,1.0,0.0,1,8,0,3422.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,3,2,2,2,5,1,213.0,4,1864.0,1,2.0,19.0,10.0,14.0,1,3,2,2220.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,1,3,2,5,2,253.0,3,475.0,4,6.0,20.0,1.0,17.0,3,0,8,1213.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,4,3,1,1,3,236.0,2,7608.0,2,7.0,2.0,31.0,13.0,2,8,6,3904.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,2,2,3,5,1,191.0,2,85.0,4,4.0,20.0,34.0,17.0,2,11,4,1097.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,1,2,5,2,144.0,3,479.0,4,5.0,22.0,10.0,22.0,3,13,10,1466.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,2,1,1,6,1,118.0,4,5457.0,3,5.0,11.0,8.0,24.0,3,12,12,3728.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,3,2,3,5,2,284.0,2,77.0,4,5.0,18.0,1.0,10.0,1,10,11,869.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,3,4,2,5,1,215.0,4,1488.0,2,3.0,4.0,11.0,0.0,3,0,8,2067.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,4,2,4,1,6,3,89.0,3,6229.0,4,2.0,20.0,1.0,11.0,3,11,10,2922.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,3,4,2,2,5,3,132.0,4,1608.0,2,3.0,6.0,40.0,11.0,2,3,2,2452.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,4,2,3,5,2,264.0,1,58.0,2,1.0,6.0,3.0,17.0,2,16,14,1271.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,2,4,3,5,1,238.0,1,44.0,4,2.0,13.0,47.0,15.0,3,8,16,2342.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,3,3,2,5,1,146.0,1,793.0,3,2.0,23.0,47.0,8.0,3,16,13,1954.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,4,4,4,3,5,3,154.0,4,16.0,2,4.0,2.0,13.0,22.0,3,8,10,2416.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,4,3,5,1,132.0,4,50.0,1,5.0,9.0,36.0,24.0,2,9,0,2553.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,3,3,1,2,2,176.0,2,2154.0,3,1.0,19.0,44.0,24.0,1,5,7,1451.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,1,3,2,5,2,250.0,4,188.0,4,3.0,12.0,21.0,21.0,3,9,0,2079.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,3,1,1,1,4,2,249.0,2,7026.0,3,6.0,9.0,23.0,1.0,1,9,14,3318.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1,3,1,3,5,1,174.0,2,20.0,1,5.0,15.0,18.0,13.0,1,3,16,1730.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3,2,1,2,5,2,204.0,2,627.0,3,6.0,22.0,48.0,3.0,1,13,6,2435.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,4,4,3,5,1,280.0,2,6.0,4,3.0,6.0,34.0,20.0,3,15,11,1571.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,2,1,2,3,266.0,3,4676.0,2,2.0,2.0,3.0,22.0,1,0,15,1259.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,2,1,4,2,5,2,162.0,4,459.0,2,5.0,1.0,32.0,19.0,3,14,0,2550.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,3,3,2,5,2,113.0,4,791.0,4,6.0,3.0,12.0,19.0,1,14,6,2772.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,2,3,3,5,1,75.0,4,78.0,3,5.0,4.0,44.0,19.0,1,12,13,2093.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,3,2,2,3,5,3,103.0,3,18.0,4,5.0,8.0,43.0,10.0,2,8,13,937.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,1,3,1,3,5,1,217.0,2,17.0,2,6.0,17.0,44.0,17.0,1,15,16,2496.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,2,1,2,5,1,97.0,2,1991.0,4,5.0,20.0,4.0,18.0,2,15,3,1496.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1,4,4,1,1,3,3,219.0,2,2511.0,2,3.0,11.0,26.0,20.0,3,11,12,1555.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4,1,3,1,6,3,274.0,1,1548.0,4,4.0,15.0,11.0,22.0,3,15,4,2044.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,3,3,1,2,3,254.0,2,3514.0,2,4.0,12.0,39.0,19.0,1,9,13,2066.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,3,3,1,2,1,218.0,1,6505.0,1,6.0,23.0,24.0,0.0,3,11,6,2400.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,4,3,3,1,2,2,56.0,3,8610.0,3,7.0,20.0,9.0,9.0,2,2,4,1852.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,1,2,4,1,6,2,204.0,1,6452.0,3,7.0,15.0,27.0,3.0,3,12,6,4814.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,1,2,1,2,5,3,104.0,4,989.0,2,3.0,9.0,35.0,5.0,2,5,16,2584.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1,3,4,2,5,3,93.0,1,1974.0,1,6.0,4.0,46.0,9.0,3,0,14,2614.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,3,4,4,2,5,1,67.0,1,745.0,3,6.0,11.0,13.0,18.0,3,3,16,1971.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2,1,3,2,5,3,74.0,2,1568.0,4,6.0,19.0,42.0,19.0,2,2,14,1423.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2,2,2,1,2,5,3,136.0,4,905.0,4,5.0,1.0,6.0,17.0,3,15,7,2779.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1,2,1,2,3,5,2,116.0,2,32.0,4,2.0,24.0,32.0,11.0,1,3,2,1034.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2,4,3,1,2,5,2,181.0,2,963.0,1,4.0,5.0,44.0,23.0,2,5,7,2093.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,3,3,1,2,5,3,60.0,1,1091.0,3,7.0,17.0,35.0,6.0,2,9,10,2574.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,1,1,2,3,5,2,117.0,4,38.0,3,2.0,1.0,23.0,18.0,3,5,11,2034.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
